State_Name,Crop_Year,Crop_Name,Season,Area,Production,Rainfall,Minimum Selling Price,Yield
Assam,2004,RICE,Kharif,2536421,3854248,1849.7,560,1.519561619
Bihar,2004,RICE,Kharif,3768224,5718627,956.4,560,1.517592107
Chandigarh,2004,RICE,Kharif,140,700,347.5,560,5
Chhattisgarh,2004,RICE,Kharif,3843825,4586818,1014.3,560,1.19329522
Dadra and Nagar Haveli,2004,RICE,Kharif,13301,37482,827.2,560,2.81798361
Goa,2004,RICE,Kharif,29535,85664,2885.5,560,2.900423227
Gujarat,2004,RICE,Kharif,667800,1040200,979.1,560,1.557651992
Haryana,2004,RICE,Kharif,1027505,2726000,347.5,560,2.653028452
Himachal Pradesh,2004,RICE,Kharif,83273,85653,467.5,560,1.028580692
Jammu and Kashmir,2004,RICE,Kharif,236199,421457,331.8,560,1.784330162
Jharkhand,2004,RICE,Kharif,1179218.42,1429944.08,923.5,560,1.212620203
Karnataka,2004,RICE,Kharif,1154783,2390085,445.2,560,2.06972652
Kerala,2004,RICE,Kharif,310521,688859,1669.5,560,2.218397467
Madhya Pradesh,2004,RICE,Kharif,1671107,1024930,900.2,560,0.6133239822
Maharashtra,2004,RICE,Kharif,1529900,2834100,306.6,560,1.852474018
Manipur,2004,RICE,Kharif,153100,335700,1643.2,560,2.19268452
Meghalaya,2004,RICE,Kharif,107761,188971,1849.7,560,1.75361216
Mizoram,2004,RICE,Kharif,55880,105713,1643.2,560,1.89178597
Nagaland,2004,RICE,Kharif,154000,261750,1643.2,560,1.699675325
Odisha,2004,RICE,Kharif,4273000,3278000,1038.9,560,0.7671425228
Puducherry,2004,RICE,Kharif,24142,57514,120,560,2.382321266
Punjab,2004,RICE,Kharif,2487000,8816000,234,560,3.544833132
Rajasthan,2004,RICE,Kharif,144378,180048,564.2,560,1.247059801
Sikkim,2004,RICE,Kharif,14900,21372,1980.1,560,1.434362416
Tamil Nadu,2004,RICE,Kharif,2059878,6583602,413.2,560,3.196112585
Uttar Pradesh,2004,RICE,Kharif,5833993.25,11998587.25,517.9,560,2.056668004
Uttarakhand,2004,RICE,Kharif,288975,560423,954.7,560,1.939347694
West Bengal,2004,RICE,Kharif,5503378,13815548,1192.3,560,2.510375991
Andaman and Nicobar Islands,2005,RICE,Kharif,8685.47,25883.04,1700.4,570,2.980039077
Andhra Pradesh,2005,RICE,Kharif,1867142,5315408,888.5,570,2.846815079
Arunachal Pradesh,2005,RICE,Kharif,122267,146191,1343.7,570,1.195670132
Assam,2005,RICE,Kharif,2540680,3737802,1525.2,570,1.471181731
Bihar,2005,RICE,Kharif,3140116,2472156,796.7,570,0.7872817437
Chandigarh,2005,RICE,Kharif,100,500,428.8,570,5
Chhattisgarh,2005,RICE,Kharif,3854352,5267527,1099,570,1.366643991
Dadra and Nagar Haveli,2005,RICE,Kharif,583,1172,613.4,570,2.010291595
Goa,2005,RICE,Kharif,29605,85399,3522.2,570,2.884614085
Gujarat,2005,RICE,Kharif,480800,596400,1314.7,570,1.240432612
Haryana,2005,RICE,Kharif,9095162,2468000,428.8,570,0.2713530556
Himachal Pradesh,2005,RICE,Kharif,81335,120624,640.3,570,1.483051577
Jammu and Kashmir,2005,RICE,Kharif,259815,504797,609.7,570,1.942909378
Jharkhand,2005,RICE,Kharif,1198054.31,1470624,779.5,570,1.227510295
Karnataka,2005,RICE,Kharif,1073899,2553099,601,570,2.377410725
Kerala,2005,RICE,Kharif,287340,570045,2157.6,570,1.983869284
Madhya Pradesh,2005,RICE,Kharif,1708583,1743430,1216.1,570,1.020395263
Maharashtra,2005,RICE,Kharif,1508700,2147200,511.93,570,1.423212037
Manipur,2005,RICE,Kharif,157830,381200,1141.1,570,2.415256922
Meghalaya,2005,RICE,Kharif,107742,190930,1525.2,570,1.772103729
Mizoram,2005,RICE,Kharif,57067,109205,1141.1,570,1.913627841
Nagaland,2005,RICE,Kharif,156400,263100,1141.1,570,1.682225064
Odisha,2005,RICE,Kharif,4501000,6801000,1153.5,570,1.510997556
Puducherry,2005,RICE,Kharif,25065,67003,83.6,570,2.673169759
Punjab,2005,RICE,Kharif,2530000,8880000,413.4,570,3.509881423
Rajasthan,2005,RICE,Kharif,83584,67932,547.1,570,0.8127392802
Sikkim,2005,RICE,Kharif,14790,21220,1945.1,570,1.434753212
Tamil Nadu,2005,RICE,Kharif,1516537,3577108,334.8,570,2.358734406
Uttar Pradesh,2005,RICE,Kharif,5213429,9596346,663.9,570,1.840697552
Uttarakhand,2005,RICE,Kharif,284430,569166,1061.3,570,2.001075836
West Bengal,2005,RICE,Kharif,5842127,14389238,1002.6,570,2.463013557
Andaman and Nicobar Islands,2006,RICE,Kharif,7776.17,21535.26,1314.9,580,2.769391616
Andhra Pradesh,2006,RICE,Kharif,1957323,6054099,862.7,580,3.093050559
Arunachal Pradesh,2006,RICE,Kharif,123038,144635,1393.5,580,1.175531137
Assam,2006,RICE,Kharif,2529826,3880934,1208.1,580,1.534071513
Bihar,2006,RICE,Kharif,3251236,3709285,936.3,580,1.140884574
Chandigarh,2006,RICE,Kharif,80,400,262.6,580,5
